"","RACE","CRIME.CODE","avg"
"1","Asian/Pacific Islander","",0.0146
"2","Asian/Pacific Islander","AGGRAVATED ASSAULT",1.5274
"3","Asian/Pacific Islander","AGGRAVATED BATTERY",5.1828
"4","Asian/Pacific Islander","AGGRAVATED CRIMINAL SEXUAL ASSAULT",1.7625
"5","Asian/Pacific Islander","AGGRAVATED DOMESTIC BATTERY",30.7105
"6","Asian/Pacific Islander","ALL OTHER DISORDERLY CONDUCT: NOT DRUNK",0.2958
"7","Asian/Pacific Islander","ARMED VIOLENCE",45.2757
"8","Asian/Pacific Islander","ASSAULT",4.0869
"9","Asian/Pacific Islander","BATTERY",4.5207
"10","Asian/Pacific Islander","BURGLARY",0.7903
"11","Asian/Pacific Islander","CANNABIS: POSSESSION OF 30 GRAMS OR LESS",5.4023
"12","Asian/Pacific Islander","CANNABIS: POSSESSION OF OVER 30 GRAMS",12.1236
"13","Asian/Pacific Islander","COMPUTER TAMPERING",0.0271
"14","Asian/Pacific Islander","CONTROLLED SUBSTANCES: MFR/ DEL/ POSS/ W/ INTENT",31.6156
"15","Asian/Pacific Islander","CREDIT CARD FRAUD",0.9674
"16","Asian/Pacific Islander","CRIMINAL DAMAGE TO PROPERTY",1.3402
"17","Asian/Pacific Islander","CRIMINAL DAMAGE TO STATE SUPPORTED PROPERTY",0.8704
"18","Asian/Pacific Islander","CRIMINAL TREPASS TO STATE SUPPORTED LAND",5.8136
"19","Asian/Pacific Islander","CRIMINAL TRESPASS TO LAND",2.5428
"20","Asian/Pacific Islander","CRIMINAL TRESPASS TO RESIDENCE",4.1165
"21","Asian/Pacific Islander","DECEPTIVE PRACTICES",0.5326
"22","Asian/Pacific Islander","DELIVERY OF CANNABIS 30 GMS AND UNDER",14.7182
"23","Asian/Pacific Islander","DELIVERY OF CANNABIS OVER 30 GMS",1.0676
"24","Asian/Pacific Islander","DELIVERY OF OR POSSESSION OF W/ INTENT TO DELIVER",0.7322
"25","Asian/Pacific Islander","DOMESTIC BATTERY",1.6216
"26","Asian/Pacific Islander","DRAG RACING",0.0826
"27","Asian/Pacific Islander","DRIVER AND PASSENGER SAFETY BELTS",0.1229
"28","Asian/Pacific Islander","DRIVING UNDER THE INFLUENCE OF ALCOHOL",7.2808
"29","Asian/Pacific Islander","DRIVING UNDER THE INFLUENCE OF DRUGS",0.2565
"30","Asian/Pacific Islander","ENDANGERING LIFE OR HEALTH OF CHILD",1.3167
"31","Asian/Pacific Islander","FALSE POLICE REPORT",0.4194
"32","Asian/Pacific Islander","FIRST DEGREE MURDER",264.284
"33","Asian/Pacific Islander","FORGERY",0.7005
"34","Asian/Pacific Islander","FUGITIVE FROM JUSTICE",20.8524
"35","Asian/Pacific Islander","HIT AND RUN",0.1389
"36","Asian/Pacific Islander","HOME INVASION",108.2812
"37","Asian/Pacific Islander","ILLEGAL CONSUMPTION OF ALCOHOL BY A MINOR",0.3651
